Date,USDINR,USDJPY,USDGBP,USDEUR,USDCHF
2021-04,-3.93,0.17,-0.03,0.07,0.82
2021-05,-3.94,0.16,-0.04,0.06,0.8
2021-06,-3.92,0.18,-0.02,0.08,0.83
2021-07,-3.9,0.2,0.0,0.1,0.86
2021-08,-3.91,0.19,-0.01,0.09,0.86
2021-09,-3.92,0.18,-0.02,0.08,0.84
2021-10,-3.92,0.18,-0.02,0.08,0.85
2021-11,-3.92,0.18,-0.02,0.08,0.86
2021-12,-3.92,0.18,-0.17,0.08,0.83
2022-01,-3.92,0.18,-0.17,0.08,0.83
2022-02,-3.92,0.18,-0.42,0.08,0.83
2022-03,-3.8,0.3,-0.55,0.2,0.95
2022-04,-3.67,0.43,-0.42,0.33,1.08
2022-05,-3.63,0.87,-0.23,0.77,1.52
2022-06,-3.69,1.31,-0.04,1.21,1.96
2022-07,-3.22,1.78,0.43,1.18,2.43
2022-08,-3.07,2.43,0.58,1.83,3.08
2022-09,-3.34,2.66,0.31,1.31,3.31
2022-10,-2.82,3.18,0.83,1.83,3.83
2022-11,-2.12,3.88,0.78,1.78,4.53
2022-12,-2.15,4.2,0.6,1.6,4.85
2023-01,-1.92,4.43,0.83,1.83,5.08
2023-02,-1.93,4.67,0.57,1.57,5.32
2023-03,-1.85,4.75,0.4,1.15,5.4
2023-04,-1.67,4.93,0.58,1.33,5.58
2023-05,-1.44,5.16,0.56,1.31,5.81
2023-06,-1.42,5.18,0.08,1.08,5.83
2023-07,-1.38,5.22,0.12,1.12,5.87
2023-08,-1.17,5.43,0.08,1.08,6.08
2023-09,-1.17,5.43,0.08,0.83,6.08
2023-10,-1.17,5.43,0.08,0.83,6.08
2023-11,-1.17,5.43,0.08,0.83,6.08
2023-12,-1.17,5.43,0.08,0.83,6.08
2024-01,-1.17,5.43,0.08,0.83,6.08
2024-02,-1.17,5.43,0.08,0.83,6.08
2024-03,-1.17,5.23,0.08,0.83,6.08
2024-04,-1.17,5.23,0.08,0.83,6.08
2024-05,-1.17,5.23,0.08,0.83,6.08
2024-06,-1.17,5.23,0.08,1.08,6.08
2024-07,-1.17,5.23,0.08,1.08,6.08
2024-08,-1.17,5.08,0.33,1.08,6.08
2024-09,-1.37,4.88,0.13,1.48,5.88
2024-10,-1.67,4.58,-0.17,1.43,5.58
2024-11,-1.86,4.39,-0.11,1.24,5.39
2024-12,-2.02,4.23,-0.27,1.33,5.23
2025-01,-2.17,3.83,-0.42,1.18,5.08
2025-02,-1.92,3.83,-0.17,1.43,5.08
2025-03,-1.92,3.83,-0.17,1.68,5.08
2025-04,-1.67,3.83,-0.17,1.93,5.08
2025-05,-1.67,3.83,0.08,1.93,5.08
2025-06,-1.17,3.83,0.08,2.18,5.08
2025-07,-1.17,3.83,0.08,2.18,5.08
